text,label,aug
$KRG: Compass Point cuts to Sell https://t.co/MCyfTsXc2N,0,$Kurdistan Regional Government: Compass Point discounts for sale https://t.co/MCyfTsXc2N
$LK - Muddy Waters goes short Luckin Coffee https://t.co/8yrbwAjLKG,0,$LK - Muddy Waters is missing Luckin Coffee https://t.co/8yrbwAjLKG
$MANT - ManTech downgraded ahead of difficult comps https://t.co/mJ1eSrsFXJ,0,$ MANT - ManTech Downgraded Ahead of Difficult Comp https://t.co/mJ1eSrsFXJ
$MDCO: Oppenheimer cuts to Perform,0,$MDCO: Oppenheimer Performance Parts
$MPLX $MPC - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review https://t.co/0BFQy4ZU6W,0,$MPLX $MPC - MPLX cut at Credit Suisse due to potential dilution from Marathon strategic review https://t.co/0BFQy4ZU6W
$MSGN - Imperial downgrades MSG Networks amid sports-free airwaves https://t.co/Ul2S6XNXw8,0,$MSGN - Imperial downgrades MSG Networks amid sports-free airwaves https://t.co/Ul2S6XNXw8
$MTLS - Piper hits the Materialise sidelines https://t.co/qlFxZuhkrt,0,$MTLS - Piper hits the sidelines for Materialize https://t.co/qlFxZuhkrt
$NCBS: Hovde Group cuts to Market Perform,0,$NCBS: Hovde Group reduced market performance
$NFLX - New Netflix bear steps out https://t.co/PdPkgLk0FQ,0,$NFLX - Netflix Bear's New Moves https://t.co/PdPkgLk0FQ
$SHOP - Shopify loses a bull https://t.co/eoq7Lchtk4,0,$SHOP - Shopify Loses Bull https://t.co/eoq7Lchtk4
$STAY - Nomura Instinet loses confidence in Extended Stay America https://t.co/WrQXTC38nB,0,$STAY - Nomura Instinet loses confidence in Extended Stay America https://t.co/WrQXTC38nB
$TWLO - Twilio gets Street-low target on virus risk https://t.co/Ky3d8DxnjX,0,$TWLO - Twilio gets low on street target on virus risks https://t.co/Ky3d8DxnjX
$VCLT $SPLB $IGLB - Guggenheim's Minerd sees more gloom ahead in stocks https://t.co/NKYQgy2o3J,0,$VCLT $SPLB $IGLB - Guggenheim's Minerd sees more gloom ahead in stocks https://t.co/NKYQgy2o3J
$VIAC $VIACA $FOX - MoffettNathanson expects NFL TV costs to skyrocket https://t.co/APfxEqSSRF,0,$VIAC $VIACA $FOX - MoffettNathanson expects NFL TV costs to rise https://t.co/APfxEqSSRF
$VIAC: Barrington Research cuts to Mkt Perform https://t.co/7Fv1ZiFZBS,0,$VIAC: Barrington Research downgrades to Mkt Performance https://t.co/7Fv1ZiFZBS
$XLNX - Mizuho cuts XLNX target on near-term headwinds https://t.co/hsWCvJb1Ct,0,$XLNX - Mizuho cuts XLNX target amid near-term headwinds https://t.co/hsWCvJb1Ct
2U downgraded to sector weight from overweight at KeyBanc Capital,0,2U was downgraded to Sector Weight from Overweight at KeyBanc Capital
Alphabet and Facebook price targets cut at Barclays on weaker ad outlook https://t.co/PlbSaE1Nc2,0,Alphabet and Facebook cut price targets at Barclays due to weaker advertising outlook https://t.co/PlbSaE1Nc2
AMC Networks price target cut to $35 from $39 at Imperial Capital,0,The price target for AMC Networks was cut to $35 from $39 at Imperial Capital
American Software downgraded to neutral from buy at B. Riley FBR,0,American Software was downgraded to Neutral from Buy at B. Riley FBR
Analysts question Silicon Motion's margin outlook,0,Analysts question Silicon Motion's margin forecast
Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer,0,Anchiano Therapeutics was downgraded to Peer Perform from Outperform at Oppenheimer
Arch Coal stock price target cut to $97 from $100 at B. Riley FBR,0,The price target for Arch Coal stock fell to $97 from $100 at B. Riley FBR
AT&T downgraded by MoffettNathanson to sell on concern wireless can't carry the whole company,0,AT&T was downgraded by MoffettNathanson to sell due to concern that wireless could not carry the entire company
AT&T shares sink after MoffettNathanson downgrade,0,AT&T shares fell after MoffettNathanson downgraded
"AT&T stock falls after MoffettNathanson downgrades, saying dividend looks less compelling",0,"AT&T stock fell after MoffettNathanson downgraded, saying earnings looked less convincing"
Aurora Cannabis stock price target cut to C$1.00 from C$1.75 at Stifel Nicolaus,0,Aurora Cannabis share price target lowered to C$1.00 from C$1.75 at Stifel Nicolaus
Autodesk downgraded to underweight from neutral at JPMorgan,0,Autodesk was downgraded to Underweight from Neutral at JPMorgan
BAML warns of profit pressure for Hormel,0,Bank of America Ltd. warns of pressure on Hormel's earnings
Barclays cools on Molson Coors,0,Barclays cools down on Molson Coors
Becton Dickinson downgraded to outperform from strong buy at Raymond James,0,Becton Dickinson was downgraded to outperform after strong buying at Raymond James
Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital,0,Becton Dickinson downgraded its sector weight rating from Overweight at KeyBanc Capital
Berry Petroleum downgraded to market perform from outperform at BMO Capital,0,Berry Petroleum downgraded its Market Perform rating from Outperform at BMO Capital
Berry Petroleum downgraded to underweight from sector weight at KeyBanc Capital,0,Berry Petroleum was downgraded to below sector weight at KeyBanc Capital
Bluebird bio downgraded to in line from outperform at Evercore ISI,0,Bluebird Bio was downgraded to a level consistent with outperformance at Evercore ISI
Bluebird bio stock price target cut to $86 from $172 at Evercore ISI,0,The price target for Bluebird Bio stock was cut to $86 from $172 at Evercore ISI
Canada Goose downgraded to buy from strong buy at CFRA,0,Canada Goose was downgraded to Buy from Strong Buy at the CFRA
Canada Goose stock price target cut to $50 from $65 at CFRA,0,Canada Goose's stock price target was cut to $50 from $65 at the CFRA
Children's Place downgraded as e-commerce puts margins at risk,0,Children's Place was downgraded because e-commerce puts margins at risk
Children's Place price target cut to $80 from $105 at Monness Crespi Hardt,0,Children's Place target price reduced to $80 from $105 at Monness Crespi Hardt
Cinedigm Corp. Analysts Are Cutting Their Estimates: Here's What You Need To Know,0,Cinedigm Analysts Cut Their Estimates: Here's What You Need to Know
Clovis Oncology stock price target cut to $8 from $12 at Evercore ISI,0,The price target for Clovis Oncology stock fell to $8 from $12 at Evercore ISI
Cumberland Pharmaceuticals stock price target cut to $9.00 from $12.25 at B. Riley FBR,0,The price target for Cumberland Pharmaceuticals was cut to $9.00 from $12.25 at B. Riley FBR.
"Dell, HPE targets trimmed on compute headwinds",0,Dell and HPE's targets were scaled back due to computing headwinds
Dish may not be key winner amid Intelsat woes - analyst,0,DISH MAY NOT BE MAJOR WINNER AMID INTELSAT PROBLEMS - ANALYST
Disney downgraded as analyst says parks attendance could take 2 years to 'normalize' https://t.co/InJKourtW3,0,Disney downgraded as analyst says park attendance could take two years to 'normalize' https://t.co/InJKourtW3
Downgrades 11/25: $AEO $COLM $DGII $EQT $ESS $EVRG $GTT $KRG $MANT $MDCO $NFLX $OMP $PEG $PRU $SBT $SITC $TAP $VIPS,0,Discounts 11/25: $AEO $COLM $DGII $EQT $ESS $EVRG $GTT $KRG $MANT $MDCO $NFLX $OMP $PEG $PRU $SBT $SITC $TAP $VIPS
Downgrades 4/7: $MLND $MSGN $MTLS $O $OC $OVV $PEB $PK $PLYA $QEP $RHP $RPAI $SAIA $SDC $SHOP $SKY $SLG $SM $TWLO… https://t.co/NGkYTADOSt,0,Sale 4/7: $MLND $MSGN $MTLS $O $OC $OVV $PEB $PK $PLYA $QEP $RHP $RPAI $SAIA $SDC $SHOP $SKY $SLG $SM $TWLO... https:// t. Share/NGkYTADOSt
Dropbox on watch after stinging Spruce Point report,0,Dropbox is on watch after a scathing Spruce Point report
"Earnings Update: electroCore, Inc. Just Reported And Analysts Are Trimming Their Forecasts",0,"Earnings Update: ElectroCore Just Reported, Analysts Cut Their Expectations"
Evercore downgrades bluebird bio and Clovis in premarket analyst action,0,Evercore downgrades Bluebird Bio and Clovis in pre-market analyst work
"Fannie Mae, Freddie Mac downgraded to sell, as analyst cites 'unintended consequences' of CARES Act https://t.co/NhiYwphBQd",0,"Fannie Mae and Freddie Mac downgraded to sell, as analyst cites 'unintended consequences' of CARES Act https://t.co/NhiYwphBQd"
Forescout downgraded to neutral from buy at Monness Crespi Hardt,0,Forescout was downgraded to Neutral from Buy on Monness Crespi Hardt
FormFactor cut on 'unsustainable' revenue outlook,0,FormFactor cuts 'unsustainable' revenue forecast.
Funko downgraded to hold from buy at Stifel Nicolaus,0,Funko was downgraded to Hold from Buy at Stifel Nicolaus
Funko stock price target cut to $10 from $25 at Stifel Nicolaus,0,Funko's share price target has been cut to $10 from $25 at Stifel Nicolaus
GM stock price target cut to $30 from $32 at Deutsche Bank,0,The price target for GM stock fell to $30 from $32 at Deutsche Bank
Grubhub gains a bear on margin view,0,Grubhub gains a bear on margin bid
H&P downgraded at Argus as drilling industry weakness seen persisting,0,H&P downgraded Argus as drilling industry continues to weaken
Hanesbrands stock price target cut to $13 vs. $16 at BofA Merrill Lynch,0,The price target for Hanesbrands stock fell to $13 from $16 at BofA Merrill Lynch
Helmerich & Payne started at sell with $34 stock price target at Deutsche Bank,0,Helmerich & Payne started selling with a $34 target price on the stock at Deutsche Bank
Hexo stock price target cut to C$5 from C$6 at MKM Partners,0,The price target for Hexo stock was cut to C$5 from C$6 at MKM Partners
Home Depot stock price target cut to $237 from $240 at Instinet,0,Home Depot's stock price target was cut to $237 from $240 at Instinet
Intelsat downgraded to underweight from neutral at J.P. Morgan,0,Intelsat was downgraded to Underweight from Neutral at JPMorgan
Intelsat lower after Morgan Stanley target cut,0,Intelsat declines after target cut from Morgan Stanley
Jefferies warns on L Brands,0,Jefferies warns against L Brands
Kohl's stock price target cut to $48 from $52 at Deutsche Bank,0,The price target for Kohl's stock fell to $48 from Deutsche Bank's $52
Kohl's stock price target cut to $50 from $53 at Wedbush,0,The price target for Kohl's stock was cut to $50 from $53 at Wedbush
L Brands stock price target cut to $16 from $20 at Wedbush,0,The price target for L Brands stock was cut to $16 from $20 at Wedbush
Lovesac stock price target cut to $28 vs. $33 at Canaccord,0,Lovesac's stock price target fell to $28 from Canaccord's $33
Lyft stock price target cut to $58 from $70 at Deutsche Bank,0,The price target for Lyft stock was cut to $58 from $70 at Deutsche Bank
Macerich downgraded to underweight from sector weight at KeyBanc Capital,0,Macerich was downgraded to below sector weight at KeyBanc Capital
Marinus Pharma stock price target cut to $6 from $7 at Leerink,0,Marinus Pharma's share price target was cut to $6 from $7 at Leerink
Methanex downgraded at TD Securities on valuation,0,Methanex downgraded to TD Securities based on valuation
Metro Inc. Just Missed Earnings And Its EPS Looked Sad - But Analysts Have Updated Their Models,0,"Metro just lost earnings, and its earnings per share looked sad - but analysts updated their models"
Mid-America Apartment Communities downgraded to sector weight from overweight at KeyBanc Capital,0,Mid-America Apartment Communities was downgraded to Sector Weight from Overweight at KeyBanc Capital
Mitek Systems stock price target cut to $11 from $14 at Benchmark,0,Mitek Systems' share price target was cut to $11 from $14 on Benchmark
Napco Security stock price target cut to $30 from $35 at Imperial Capital,0,The price target for Napco Security stock fell to $30 from $35 at Imperial Capital
Needham's Martin Defends Her Prediction That Netflix Subscriptions Will Fall,0,Needham's Martin defends its prediction that Netflix subscriptions will decline
Netflix downgraded to ‘underperform’ at Needham,0,"Netflix was downgraded to ""underperform"" in Needham"
Netflix stock falls after Wells Fargo turns bearish,0,Netflix stock fell after Wells Fargo turned bearish
New Netflix bear steps out,0,Steps to download new Netflix
"New York Opioid Case A Significant Risk For Pharma Stocks, Says Bearish BofA",0,"New York opioid issue poses major risk for drug stocks, says bearish Bank of America"
Norwegian Cruise Line downgraded to strong sell from hold at CFRA,0,Norwegian Cruise Line was downgraded to strong sell from hold at the CFRA
Novo Nordisk downgraded by UBS on concerns over drug launch cost,0,UBS downgraded Novo Nordisk over concerns about the cost of launching the drug
Oppenheimer cuts estimates on Yum China,0,Oppenheimer lowers estimates on Yum China
Orbcomm price target lowered to $9 at Canaccord,0,The price target for Orbcomm was cut to $9 at Canaccord
O'Reilly Automotive stock price target cut to $405 from $415 at J.P. Morgan,0,O'Reilly Automotive stock price target cut to $405 from $415 at JPMorgan
Patterson-UTI Energy started at sell with $7 stock price target at Deutsche Bank,0,Patterson-UTI Energy initiated the sale with a $7 share price target at Deutsche Bank
PS Business Parks downgraded to underweight from sector weight at KeyBanc Capital,0,PS Business Parks has been downgraded to below sector weighting at KeyBanc Capital
Rio Tinto downgraded to neutral from overweight at J.P. Morgan,0,Rio Tinto was downgraded to neutral from overweight at J.P. Morgan
"Rosenblatt Projects 47% Downside In Apple Shares, Warns Of Drop In iPhone Production",0,"Rosenblatt predicts a 47% decline in Apple shares, warns of a decline in iPhone production"
Royal Caribbean downgraded to sell from buy at CFRA,0,Royal Caribbean downgraded its rating to sell from buy at the CFRA
Royal Caribbean stock price target cut to $100 from $135 at CFRA,0,The price target for Royal Caribbean stock fell to $100 from $135 at the CFRA
Royal Caribbean's stock falls after CFRA swings to bearish on 'more dire' coronavirus assessment,0,"Royal Caribbean stock fell after CFRA swung lower on a ""riskier"" coronavirus rating"
Scandinavian Tobacco Group A/S Earnings Missed Analyst Estimates: Here's What Analysts Are Forecasting Now,0,Scandinavian Tobacco Group A/S's earnings miss analyst estimates: here's what analysts expect now
Sherwin-Williams cut from Conviction Buy at Goldman on valuation,0,Sherwin Williams cut from Conviction Buy at Goldman based on valuation
Sirius downgraded on valuation,0,Sirius lowered the rating
Spotify Double Downgrade Reflects Prospect of Slower Revenue Growth https://t.co/jMJ3N4A06T,0,Spotify's double dip reflects potential slowdown in revenue growth https://t.co/jMJ3N4A06T
SunTrust latest to trim Nielsen target,0,SunTrust latest to trim Nielsen target
Taco Bell parent Yum Brands downgraded to neutral from buy at BTIG,0,"Yum Brands, the parent company of Taco Bell, lowered its rating to Neutral from Buy on BTIG"
Take-Two downgraded on murky game slate,0,Take-Two has been downgraded on the list of obscure games
Take-Two Interactive stock price target cut to $124 from $133 at MKM Partners,0,Take-Two Interactive's stock price target cut to $124 from $133 at MKM Partners
Target Hospitality downgraded to perform from outperform at Oppenheimer,0,Target Hospitality was downgraded to Outperform from Oppenheimer
Taubman Centers downgraded to sector weight from overweight at KeyBanc Capital,0,Taubman Centers downgraded its rating to Sector Weight from Overweight on KeyBanc Capital
"The Manitowoc Company, Inc. Just Reported Earnings, And Analysts Cut Their Target Price",0,"Manitowoc, Inc. announced Just reported its earnings, and analysts cut their price targets"
Transocean started at sell with $3 stock price target at Deutsche Bank,0,Transocean started selling with a target price of $3 per share at Deutsche Bank
Ultra Clean downgraded to hold from buy at Stifel Nicolaus,0,Ultra Clean has been downgraded to Hold from Buy at Stifel Nicolaus
Wells Fargo Downgrades Netflix $NFLX to Underperform but sees as a takeover target. NFLX could get acquired: NFLX i… https://t.co/vuNpYwRDSg,0,Wells Fargo downgraded Netflix $NFLX to underperform but is considered a takeover target. NFLX can be obtained: NFLX i… https://t.co/vuNpYwRDSg
Wells Fargo Downgrades Netflix On Spending Concerns,0,Wells Fargo downgrades Netflix due to spending concerns
"Wells Fargo downgrades Netflix: 'If content is king, then cash is queen' https://t.co/niUwYR5YUD",0,"Wells Fargo downgrades Netflix: 'If content is king, cash is queen' https://t.co/niUwYR5YUD"
Welltower stock price target cut to $90 from $95 at J.P. Morgan,0,The price target for Welltower stock fell to $90 from $95 at JPMorgan
WWE stock price target cut to $57 from $79 at Benchmark,0,The WWE stock price target was cut to $57 from $79 on Benchmark
Aggressive Fed boost fails to stop sell-off #Samp;P500 #economy #MarketScreener https://t.co/p8lniQQTZt https://t.co/VsHuUI8mgj,0,Aggressive Fed boost fails to stem selling #Samp;P500 #economy #MarketScreener https://t.co/p8lniQQTZt https://t.co/VsHuUI8mgj
Bank of Ireland cuts key profit target as low rates take toll https://t.co/pWzgfDXDm3,0,Bank of Ireland cuts key profit target as interest rates fall https://t.co/pWzgfDXDm3
Bank of Nova Scotia : Scotiabank CEO expects 'somewhat elevated' loan losses for 3-4 quart... #BankofNovaScotia… https://t.co/OAXfDtrtAk,0,Bank of Nova Scotia: Scotiabank CEO expects “moderately high” loan losses of 3-4 quarters… #BankofNovaScotia… https://t.co/OAXfDtrtAk
Breakingviews - Fed's ultra-loose efforts will cast long shadow https://t.co/nktomiS4jW https://t.co/A5r5dgKIhX,0,Breakingviews – Too loose Fed efforts will cast a long shadow https://t.co/nktomiS4jW https://t.co/A5r5dgKIhX
European banks slash $280bn from main US businesses https://t.co/Gwahc0Sc0F,0,European banks cut $280 billion from major American companies https://t.co/Gwahc0Sc0F
Europe's banks were only halfway through cleaning up more than $1 trillion of loans that turned sour in the last cr… https://t.co/a5XeRxCEVl,0,European banks were only halfway through cleaning up more than $1 trillion in loans that went bad in the recent crisis… https://t.co/a5XeRxCEVl
"Eurozone banks' returns were already hurting before COVID-19, ECB says https://t.co/hDvBAwFDeG",0,The European Central Bank says euro zone bank yields were already taking a hit before the coronavirus https://t.co/hDvBAwFDeG
Fed Liquidity Drain Spoils Virus-Surge-Inspired Stock Buying-Panic | Zero Hedge https://t.co/wnLxXP4sHu,0,Fed liquidity drain spoils virus- and panic-inspired stock buying | Zero Hedge https://t.co/wnLxXP4sHu
Fed policymakers working to limit damage as pandemic puts U.S. economy on pause https://t.co/QwCihVGWly https://t.co/ZRbeFgfAdo,0,Fed policymakers work to limit damage as pandemic brings US economy to a halt https://t.co/QwCihVGWly https://t.co/ZRbeFgfAdo
Fed Report : Small-Business Sector Highly Vulnerable to Coronavirus Crisis--Update #FedReport #economy… https://t.co/AjGZqiRl5b,0,Federal Reserve Report: The small business sector is highly vulnerable to the Corona virus crisis - Update #FedReport #economy… https://t.co/AjGZqiRl5b
"Fed Warns Virus Poses ‘New Risk’ to Global Growth, Markets",0,The Fed warns that the virus poses a “new risk” to global growth and markets
Fed's Bullard: China to 'slow noticeably' in first quarter due to virus https://t.co/i1jKKq9kNi https://t.co/4Ug71D7IN6,0,Fed's Bullard: China will 'slow significantly' in Q1 due to virus https://t.co/i1jKKq9kNi https://t.co/4Ug71D7IN6
"Fed's corporate credit measures to limit buybacks, dividend https://t.co/4FrdSvMV8T",0,Fed corporate credit measures to limit buybacks and dividends https://t.co/4FrdSvMV8T
Fed's Williams: Risks to U.S. economy still to the downside,0,Fed's Williams: Risks to the US economy are still to the downside
"Former Fed chief Bernanke sees bad year, no quick recovery #economy #MarketScreener https://t.co/YaN7qVv5aq https://t.co/zn3oEbjuL7",0,"Former Fed Chairman Bernanke sees a bad year, no quick recovery #economy #MarketScreener https://t.co/YaN7qVv5aq https://t.co/zn3oEbjuL7"
"Janet Yellen says a V-shaped economic recovery ""is possible,' but she is ""worried that the outcome will be worse"" https://t.co/11FIumVTXC",0,"Janet Yellen says V-shaped economic recovery 'possible', but 'worries the outcome will be worse' https://t.co/11FIumVTXC"
Lagarde Says ECB Running Out of Room to Fight Global Threats,0,Lagarde says the European Central Bank no longer has room to fight global threats
"Lagarde Says ECB's Options Limited by Low Rates, Low Inflation",0,Lagarde says the ECB's options are limited by low interest rates and low inflation
New #IMFBlog shows that long-lasting credit booms that featured rapid construction growth never ended well.… https://t.co/gMBiUS6z7J,0,A new #IMF blog shows that long-term credit booms marked by rapid growth in the construction sector never end well.
Overall Fed Temporary Liquidity Continues to Shrink #economy #MarketScreener https://t.co/UjqUoGk3L9 https://t.co/OVGpDhlZOb,0,Total Fed temporary liquidity continues to shrink #economy #MarketScreener https://t.co/UjqUoGk3L9 https://t.co/OVGpDhlZOb
Schweizerische Nationalbank : Switzerland Loses Grip on World's Lowest Borrowing Costs -- ...… https://t.co/fuN3T0obd5,0,Swiss National Bank: Switzerland is losing its grip on the lowest borrowing costs in the world --… https://t.co/fuN3T0obd5
Some officials worried about the bank's decision to drop self-imposed limits on the ECB's bond purchases https://t.co/elfM7nRACS,0,Some officials are concerned about the bank's decision to drop limits imposed by the European Central Bank on its bond purchases https://t.co/elfM7nRACS
"Thailand has a limited space to deliver a “strong dose” of monetary policy, central bank governor says as he cautio… https://t.co/WR3CYfD3hy",0,"Thailand has limited space to introduce a 'strong dose' of monetary policy, central bank governor says... https://t.co/WR3CYfD3hy"
The Federal Reserve's rescue of the overnight lending market appears to be having an unintended side effect: it's j… https://t.co/8Ko2fxHj7W,0,The Fed's rescue of the overnight lending market appears to have an unintended side effect: it… https://t.co/8Ko2fxHj7W
UAE stimulus to help bank liquidity but may increase problem loans - Moody's #economy #MarketScreener… https://t.co/8rGhax4y8C,0,UAE stimulus to help banks' liquidity but may increase non-performing loans – Moody's #economy #MarketScreener… https://t.co/8rGhax4y8C
UPDATE 2-China cbank warns high financial risks amid rising economic headwinds,0,Update 2-The Chinese Central Bank warns of high financial risks amid increasing economic headwinds
"Yellen Blames ""Enormous Debt And Buybacks"" For Coming Default Wave; Morgan Stanley Says It's All The Fed's Fault  https://t.co/Ed0jVBpmhZ",0,Yellen blames 'massive debt and buybacks' for coming wave of defaults; Morgan Stanley says it's all the Fed's fault https://t.co/Ed0jVBpmhZ
"""I’ve owned the Apple Card for 3 months…this is why it sucks."" https://t.co/ngzSpdvFPK",0,“I've had the Apple Card for 3 months...and this is why it sucks.” https://t.co/ngzSpdvFPK
"""That's Not Safe! Somebody's Going To Die!"": Senator Markey Slams Tesla Autopilot At Commerce Committee Hearing https://t.co/PHvFLxKnQu",0,"""This is not safe! Someone is going to die!"": Senator Markey slams Tesla's Autopilot in Commerce Committee hearing https://t.co/PHvFLxKnQu"
"""We Totally Failed As A Business"": Unicorn Scooter Impales Investors After Company Goes Hooves-Up https://t.co/otp1fQAFgj",0,'We have completely failed as a company': Unicorn scooter scares investors after company soars https://t.co/otp1fQAFgj
"$300,000 Pilot Jobs Drying Up in China After Boeing Grounding",0,"Pilot jobs worth $300,000 are drying up in China after Boeing is grounded"
$AAL - American halts flights to Mainland China https://t.co/zQIKTbqqUk,0,$AAL – America stops flights to mainland China https://t.co/zQIKTbqqUk
$AMGN - Partial response in Amgen brain cancer study https://t.co/6sAXBkTCST,0,$AMGN - Partial Response in Amgen Brain Cancer Study https://t.co/6sAXBkTCST
$AXAS - Abraxas Petroleum: Poor Liquidity Points To A Chapter 11 May Be On The Horizon. https://t.co/bdKkXTKDOL… https://t.co/PG849ZPziP,0,$AXAS - Abraxas Petroleum: Weak liquidity suggests Chapter 11 may be on the horizon. https://t.co/bdKkXTKDOL… https://t.co/PG849ZPziP
$AXAS - Abraxas Petroleum: Poor Liquidity Points To A Chapter 11 May Be On The Horizon. https://t.co/bdKkXTKDOLâ€¦ https://t.co/PG849ZPziP,0,$AXAS - Abraxas Petroleum: Weak liquidity suggests Chapter 11 may be on the horizon. https://t.co/bdKkXTKDOL... https://t.co/PG849ZPziP
$BA - 737 MAX crisis claims job of Boeing's top communications official https://t.co/FwntvthN9F,0,$BA - 737 MAX crisis prompts job of chief communications officer at Boeing https://t.co/FwntvthN9F
$CAT - Caterpillar sees more weak demand ahead as firms defer capital decisions https://t.co/CzAxE8TDL1,0,$CAT - Caterpillar expects further weak demand ahead as companies postpone capital decisions https://t.co/CzAxE8TDL1
$CBAY: CymaBay Therapeutics halts clinical development of Seladelpar based on initial histological findings observe… https://t.co/v8K1pQPrsK,0,$CBAY: CymaBay Therapeutics has halted clinical development of Seladelpar based on preliminary histological findings observed… https://t.co/v8K1pQPrsK
$CORV - FDA advisory committee thumbs down on Correvio's Brinavess for AF https://t.co/vLfvDUDw9v,0,$CORV - FDA Advisory Committee Rejects Use of Correvio's Brinavess for AF https://t.co/vLfvDUDw9v
$CTSO: CytoSorbents says temporarily pausing enrollment of REFRESH 2-AKI study at the recommendation of its Data... https://t.co/6ibg4NhPh1,0,$CTSO: CytoSorbents says about pausing enrollment in REFRESH 2-AKI study based on recommendation of its data… https://t.co/6ibg4NhPh1
$LJPC - La Jolla Pharma to reassess development of LJPC-401 https://t.co/sJITlHYGuz,0,$LJPC - La Jolla Pharma reevaluates development of LJPC-401 https://t.co/sJITlHYGuz
$LK - Citron and Muddy Waters at odds over Luckin Coffeee https://t.co/gkLLQ0bBQA,0,$LK - Disagreement between Citron and Muddy Waters over Luckin Coffee https://t.co/gkLLQ0bBQA
$UBER - Uber CEO comments on London license loss https://t.co/ppLtG1r4lP,0,$UBER - Uber CEO comments on losing London license https://t.co/ppLtG1r4lP
$UN $UL - Unilever U.S. recalls some chicken products https://t.co/jLN7s2LAd7,0,$UN $UL - The American company Unilever recalls some chicken products https://t.co/jLN7s2LAd7
"“Vaping is taking us backward,” CVS Health CEO Larry Merlo says. “Something has to be done.” https://t.co/CwxbCtXvWW https://t.co/NBv10IejXx",0,"“Vaping is setting us back,” says Larry Merlo, CEO of CVS Health. ""Something needs to be done."" https://t.co/CwxbCtXvWW https://t.co/NBv10IejXx"
2020 Will Be Another Year of Pain for Tanger,0,2020 will be another year of pain for Tangier
"After Growing 16% In 2 Years, Why Did Lowe’s Number Of Stores Decrease?",0,"After growing 16% in two years, why did the number of Lowe's stores decline?"
Airbus : Boeing deliveries halved in first eleven months of 2019 #Airbus #Stock #MarketScreener… https://t.co/5Ux2IqpCAP,0,Airbus: Boeing deliveries halved in the first eleven months of 2019 #Airbus #Stock #MarketScreener… https://t.co/5Ux2IqpCAP
Apple closing all China stores and offices,0,Apple closes all its stores and offices in China
"Apple saw China iPhone units fall in November, Credit Suisse says",0,"Apple saw a decline in iPhone units in China in November, says Credit Suisse"
"As a reminder, JPMorgan remains the riskiest bank with the highest GSIB score of any bank and a 4.0% surcharge. https://t.co/8jTxnywzqM",0,"As a reminder, JPMorgan remains the riskiest bank with the highest GSIB score of any bank and a surcharge of 4.0%. https://t.co/8jTxnywzqM"
"As Liquidation Threat Looms, Jet Airways Bidders Still Not Ready",0,"With the threat of liquidation looming, Jet Airways' bidders are still not ready"
Axonics launches $110M equity offering; shares down 3% after hours,0,Axonix launches a stock offering worth $110 million; Shares fell 3% after hours
BlackRock admonishes Siemens for environmental actions,0,BlackRock advises Siemens to take environmental action
